x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+12.197500E+00,-76.508E-03,+3.827889E+00,+2.906282E+00,+326.960E-03
+12.200000E+00,-217.211E-03,+3.664573E+00,+2.896231E+00,-250.930E-03
+12.202500E+00,+3.894E-03,+3.752513E+00,+2.861055E+00,+226.457E-03
+12.205000E+00,-51.382E-03,+3.827889E+00,+2.906282E+00,-313.744E-03
+12.207500E+00,-76.508E-03,+3.626884E+00,+2.835930E+00,+151.080E-03
+12.210000E+00,-156.910E-03,+3.827889E+00,+2.906282E+00,-426.809E-03
+12.212500E+00,+3.894E-03,+3.626884E+00,+2.906282E+00,+151.080E-03
+12.215000E+00,-56.407E-03,+3.702261E+00,+2.936432E+00,-389.121E-03
+12.217500E+00,-151.885E-03,+3.827889E+00,+2.901256E+00,+151.080E-03
+12.220000E+00,-76.508E-03,+3.664573E+00,+2.825880E+00,-288.618E-03
+12.222500E+00,-76.508E-03,+3.953518E+00,+2.861055E+00,+151.080E-03
+12.225000E+00,-131.784E-03,+3.765075E+00,+2.906282E+00,-389.121E-03
+12.227500E+00,-71.483E-03,+3.626884E+00,+2.906282E+00,+151.080E-03
+12.230000E+00,-91.583E-03,+3.664573E+00,+2.906282E+00,-112.739E-03
+12.232500E+00,-76.508E-03,+3.827889E+00,+2.906282E+00,+151.080E-03
+12.235000E+00,-76.508E-03,+3.702261E+00,+2.881156E+00,-250.930E-03
+12.237500E+00,-76.508E-03,+3.815327E+00,+2.906282E+00,+151.080E-03
+12.240000E+00,-76.508E-03,+3.827889E+00,+2.906282E+00,-288.618E-03
+12.242500E+00,-76.508E-03,+3.827889E+00,+2.861055E+00,+151.080E-03
+12.245000E+00,-76.508E-03,+3.777638E+00,+2.856030E+00,-250.930E-03
+12.247500E+00,-76.508E-03,+3.815327E+00,+2.901256E+00,+151.080E-03
+12.250000E+00,+2.828015E+00,+3.827889E+00,+2.825880E+00,-2.851432E+00
+12.252500E+00,+2.863191E+00,+3.714824E+00,+2.906282E+00,+2.764146E+00
+12.255000E+00,+2.762688E+00,+3.827889E+00,+2.906282E+00,-3.052437E+00
+12.257500E+00,+2.898367E+00,+3.652010E+00,+2.906282E+00,+3.002839E+00
+12.260000E+00,+2.898367E+00,+3.827889E+00,+2.906282E+00,-3.467010E+00
+12.262500E+00,+2.898367E+00,+3.714824E+00,+2.876131E+00,+2.764146E+00
+12.265000E+00,+2.817965E+00,+3.702261E+00,+2.931407E+00,-3.316256E+00
+12.267500E+00,+2.888316E+00,+3.827889E+00,+2.906282E+00,+3.203844E+00
+12.270000E+00,+2.802889E+00,+3.827889E+00,+2.921357E+00,-3.316256E+00
+12.272500E+00,+2.817965E+00,+3.915829E+00,+2.906282E+00,+2.839523E+00
+12.275000E+00,+2.843090E+00,+3.765075E+00,+2.906282E+00,-3.316256E+00
+12.277500E+00,+2.822990E+00,+3.652010E+00,+2.906282E+00,+3.191281E+00
+12.280000E+00,+2.838065E+00,+3.802764E+00,+2.896231E+00,-2.989623E+00
+12.282500E+00,+2.863191E+00,+3.827889E+00,+2.906282E+00,+3.166156E+00
+12.285000E+00,+2.817965E+00,+3.827889E+00,+2.906282E+00,-3.253442E+00
+12.287500E+00,+2.898367E+00,+3.827889E+00,+2.906282E+00,+2.538015E+00
+12.290000E+00,+2.953643E+00,+3.827889E+00,+2.825880E+00,-3.027312E+00
+12.292500E+00,+2.863191E+00,+3.827889E+00,+2.906282E+00,+2.839523E+00
+12.295000E+00,+2.918467E+00,+3.827889E+00,+2.961558E+00,-3.240879E+00
+12.297500E+00,+2.878266E+00,+3.652010E+00,+2.981658E+00,+3.228970E+00
+12.300000E+00,+2.828015E+00,+3.626884E+00,+2.976633E+00,-3.492136E+00
+12.302500E+00,+2.898367E+00,+3.714824E+00,+2.825880E+00,+2.764146E+00
+12.305000E+00,+2.898367E+00,+3.765075E+00,+2.856030E+00,-2.989623E+00
+12.307500E+00,+2.888316E+00,+3.626884E+00,+2.906282E+00,+3.166156E+00
+12.310000E+00,+2.883291E+00,+3.664573E+00,+2.906282E+00,-3.492136E+00
+12.312500E+00,+2.817965E+00,+3.714824E+00,+2.906282E+00,+2.600829E+00
+12.315000E+00,+2.868216E+00,+3.765075E+00,+2.881156E+00,-3.190628E+00
+12.317500E+00,+2.807914E+00,+3.815327E+00,+2.906282E+00,+3.065653E+00
+12.320000E+00,+2.898367E+00,+3.827889E+00,+2.840955E+00,-3.316256E+00
+12.322500E+00,+2.863191E+00,+3.626884E+00,+2.906282E+00,+2.764146E+00
+12.325000E+00,+2.898367E+00,+3.626884E+00,+2.906282E+00,-3.253442E+00
+12.327500E+00,+2.817965E+00,+3.815327E+00,+2.835930E+00,+3.191281E+00
+12.330000E+00,+2.898367E+00,+3.802764E+00,+2.921357E+00,-3.492136E+00
+12.332500E+00,+2.878266E+00,+3.827889E+00,+2.906282E+00,+2.877211E+00
+12.335000E+00,+2.817965E+00,+3.827889E+00,+2.906282E+00,-3.240879E+00
+12.337500E+00,+2.898367E+00,+3.853015E+00,+2.981658E+00,+3.367161E+00
+12.340000E+00,+2.817965E+00,+3.664573E+00,+2.906282E+00,-2.826307E+00
+12.342500E+00,+2.898367E+00,+3.827889E+00,+2.956533E+00,+2.839523E+00
+12.345000E+00,+2.868216E+00,+3.827889E+00,+2.906282E+00,-3.178065E+00
+12.347500E+00,+2.898367E+00,+3.827889E+00,+2.901256E+00,+3.027965E+00
+12.350000E+00,+2.908417E+00,+3.802764E+00,+2.906282E+00,-2.989623E+00
+12.352500E+00,+2.863191E+00,+3.827889E+00,+2.861055E+00,+3.203844E+00
+12.355000E+00,+2.868216E+00,+3.827889E+00,+2.906282E+00,-3.115251E+00
+12.357500E+00,+2.898367E+00,+3.815327E+00,+2.906282E+00,+3.103342E+00
+12.360000E+00,+2.838065E+00,+3.827889E+00,+2.906282E+00,-3.492136E+00
+12.362500E+00,+2.817965E+00,+3.714824E+00,+2.956533E+00,+2.726457E+00
+12.365000E+00,+2.843090E+00,+3.827889E+00,+2.906282E+00,-2.851432E+00
+12.367500E+00,+2.822990E+00,+3.827889E+00,+2.906282E+00,+2.965151E+00
+12.370000E+00,+2.898367E+00,+3.664573E+00,+2.896231E+00,-3.152940E+00
+12.372500E+00,+2.817965E+00,+3.714824E+00,+2.906282E+00,+3.078216E+00
+12.375000E+00,+2.898367E+00,+3.827889E+00,+2.856030E+00,-3.316256E+00
+12.377500E+00,+2.898367E+00,+3.626884E+00,+2.901256E+00,+3.404849E+00
+12.380000E+00,+2.817965E+00,+3.664573E+00,+2.976633E+00,-3.492136E+00
+12.382500E+00,+2.898367E+00,+3.827889E+00,+2.861055E+00,+2.726457E+00
+12.385000E+00,+2.817965E+00,+3.827889E+00,+2.881156E+00,-2.989623E+00
+12.387500E+00,+2.822990E+00,+3.652010E+00,+2.906282E+00,+3.191281E+00
+12.390000E+00,+2.898367E+00,-154.523E-03,+2.825880E+00,-3.353945E+00
+12.392500E+00,+2.898367E+00,+8.794E-03,+2.956533E+00,+2.726457E+00
+12.395000E+00,+2.843090E+00,+8.794E-03,+2.906282E+00,-3.115251E+00
+12.397500E+00,+2.878266E+00,+8.794E-03,+2.901256E+00,+2.839523E+00
+12.400000E+00,+2.898367E+00,-154.523E-03,+2.906282E+00,-3.492136E+00
+12.402500E+00,+2.898367E+00,-66.583E-03,+2.906282E+00,+2.726457E+00
+12.405000E+00,+2.898367E+00,+8.794E-03,+2.906282E+00,-2.926809E+00
+12.407500E+00,+2.903392E+00,+33.920E-03,+2.835930E+00,+3.480226E+00
+12.410000E+00,+2.908417E+00,+8.794E-03,+2.906282E+00,-3.291131E+00
+12.412500E+00,+2.898367E+00,+8.794E-03,+2.906282E+00,+2.877211E+00
+12.415000E+00,+2.843090E+00,+8.794E-03,+2.961558E+00,-3.115251E+00
+12.417500E+00,+2.888316E+00,-167.085E-03,+2.835930E+00,+3.065653E+00
+12.420000E+00,+2.883291E+00,+8.794E-03,+2.825880E+00,-3.316256E+00
